"concerncode","bedrijfsnaam","plaats","geestelijkegezondheidszorg","gehandicaptenzorg","thuiszorg","omzet","winst","personeelskostentotaal","fte","jaar","perc_winst","perc_loon","omzet_fte"
"YAM2SMZ84G","Kalorama","BEEK UBBERGEN","no","yes","yes","28426975","-815","20186959",NA,2011,0,71,NA
"9NPC2KEGMB","Stichting Thedinghsweert","TIEL","no","yes","no","1632892","62687","1122276",NA,2011,3.8,68.7,NA
"3GEQCESPRR","Zorgcentra De Betuwe","CULEMBORG","no","no","yes","36295154","1150616","23066583",NA,2011,3.2,63.6,NA
"WPDCZT82J9","Verzorgingshuis St. Barbara","DREUMEL","no","no","yes","1873690","74090","997722",NA,2011,4,53.2,NA
"YA2Y9RBYX7","Zorginjection Thuiszorg","GORINCHEM","no","no","yes","503924","-2729","402456",NA,2011,-0.5,79.9,NA
"3GEW58HGNT","Stichting Zorggroep Alblasserwaard en Vijfheerenlanden","AMEIDE","no","no","yes","22345932","-292455","14501333",NA,2011,-1.3,64.9,NA
"QVYTX3RPD6","Thuiszorg Helpende Hand","Venlo-Blerick","no","no","yes","1951799","-21131","1899737",NA,2011,-1.1,97.3,NA
"X9GWE4T2L7","Stichting Vincent van Gogh","Venray","yes","no","no","109271020","346810","76305859",NA,2011,0.3,69.8,NA
"9NPRC6Y87T","Buro van Roosmalen GGZ B.V.","ROERMOND","yes","no","no","5494175","486573","4048133",NA,2011,8.9,73.7,NA
"3GE4NKTEP6","PGZ (Particulier Gespecialiseerd Zorgverleningsbureau Limburg / Noord-Brabant BV)","NEDERWEERT","yes","yes","no","2674939","111557","2035403",NA,2011,4.2,76.1,NA
"7F433QQP39","Daelzicht","HEEL","no","yes","no","85151770","1104515","57730360",NA,2011,1.3,67.8,NA
"X9G4PTXRVB","Mosae Zorggroep","MAASTRICHT","no","no","yes","27054662","1105774","19096489",NA,2011,4.1,70.6,NA
"YA2NBB5FPR","Stichting Mondriaan","HEERLEN","yes","no","no","155820000","2647000","108524000",NA,2011,1.7,69.6,NA
"VMUM6XC65T","Stichting GroenekruisDomicura","MAASTRICHT","no","no","yes","53968999","923056","48234215",NA,2011,1.7,89.4,NA
"QVK5VCDE99","Sevagram","HEERLEN","no","no","yes","106636039","305659","68065182",NA,2011,0.3,63.8,NA
"NWRXFJKPK7","Radar","MAASTRICHT","no","yes","no","52908547","2739279","31984971",NA,2011,5.2,60.5,NA
"YA22MDLMLT","Oase","HOENSBROEK","no","yes","no","690492","-2346","445371",NA,2011,-0.3,64.5,NA
"9N79D2F6CK","Amacura B.V.","GELEEN","yes","no","no","5781541","335349","4513434",NA,2011,5.8,78.1,NA
"QVKU3VP8YG","Parkstad Thuiszorg B.V.","Landgraaf","no","no","yes","1066222","-78899","1048577",NA,2011,-7.4,98.3,NA
"7F42ZL9EA7","Virenze Algemeen Beheer B.V.","Gronsveld","yes","no","no","15539112","1631514","10044942",NA,2011,10.5,64.6,NA
"NWXSYPA3HB","Zorg Groep Beek B.V.","Beek Lb","no","no","yes","965726","96803","807873",NA,2011,10,83.7,NA
"WPN9PNMQFR","Zorg voor Mensen","Meerssen","no","no","yes","2953969","456638","2423433",NA,2011,15.5,82,NA
"X95Q2RNJ2T","Cicero Zorggroep","HOENSBROEK","no","no","yes","88510491","3599984","58407838",NA,2011,4.1,66,NA
"YATK67CZ86","MeanderGroep Zuid-Limburg","Landgraaf","no","no","yes","168897785","860736","126991416",NA,2011,0.5,75.2,NA
"VMWLGU6MKK","Dichterbij","GENNEP","no","yes","no","228480426","5402952","142418291",NA,2011,2.4,62.3,NA
"9N77RXXFS9","Interzorg Oss Thuiszorg B.V.","OSS","no","no","yes","6493729","304597","5736694",NA,2011,4.7,88.3,NA
"3GLZK4N66G","Vitalis Zorg Groep","EINDHOVEN","no","no","yes","110253000","2549000","72948000",NA,2011,2.3,66.2,NA
"7FHYF9VVTB","De Kruidenhoeve","MILHEEZE","yes","yes","no","134101","6547","93500",NA,2011,4.9,69.7,NA
"YATG8QKBAK","Savant, Organisatie voor Zorg","HELMOND","no","no","yes","62085496","980376","41118566",NA,2011,1.6,66.2,NA
"VMWDDDFWH9","St. Anna Zorggroep","GELDROP","no","no","yes","121812554","2691242","71744626",NA,2011,2.2,58.9,NA
"9N7R4ZWXFG","Pantein","BOXMEER","no","no","yes","196140273","260673","139310286",NA,2011,0.1,71,NA
"QVVVZA9HXB","Geïntegreerde Geestelijke Gezondheidszorg in Eindhoven en De Kempen","EINDHOVEN","yes","no","no","158026893","13404178","105294470",NA,2011,8.5,66.6,NA
"7FHGY8SSZR","Cello","VUGHT","no","yes","no","100619127","44840","70711140",NA,2011,0,70.3,NA
"9NJAKUNWR7","Zuidzorg","VELDHOVEN","no","no","yes","95248000","5780000","77080000",NA,2011,6.1,80.9,NA
"NWXMU9RSJ6","Vivent","s Hertogenbosch","no","no","yes","78227010","3164711","58849658",NA,2011,4,75.2,NA
"X9QC5DL959","Apanta-ggz","VELDHOVEN","yes","no","no","3590841","287244","2602643",NA,2011,8,72.5,NA
"3G3PWREWJR","Rinette Zorg B.V.","Best","no","no","yes","3989967","205297","3468186",NA,2011,5.1,86.9,NA
"QVVWSFSXPT","Lunet","EINDHOVEN","no","yes","no","122648995","109254","78219897",NA,2011,0.1,63.8,NA
"X9QPN7CV9G","Autismetotaal.nl","BEEK EN DONK","yes","no","no","743694","54710","485300",NA,2011,7.4,65.3,NA
"YAFKRC2LD7","Psycho Eindhoven","EINDHOVEN","yes","no","no","85801","11564","39655",NA,2011,13.5,46.2,NA
"VMZ3KGB57B","Psychotherapiepraktijk Eindhoven Centrum (PEC)","EINDHOVEN","yes","no","no","1531814","67","0",NA,2011,0,0,NA
"9NJJ7J57QR","Amaliazorg","OIRSCHOT","no","no","yes","15870058","410147","10557375",NA,2011,2.6,66.5,NA
"746KBHRXEK","Libra Zorggroep","EINDHOVEN","no","yes","no","53103693","235722","38095088",NA,2011,0.4,71.7,NA
"NWM3AKJTC9","Zorgboerderij Chaamdijk","CHAAM","no","yes","no","193847","-8368","57831",NA,2011,-4.3,29.8,NA
"WPBJ5ELHVG","Stichting De Belvertshoeve","OISTERWIJK","no","yes","no","2646824","7601","1461323",NA,2011,0.3,55.2,NA
"X9QZXQKSY7","Novadic-Kentron","VUGHT","yes","no","no","72748793","411055","56922570",NA,2011,0.6,78.2,NA
"YAFG4VRC5B","Actief Zorg B.V.","TILBURG","no","no","yes","2707027","-28320","2400341",NA,2011,-1,88.7,NA
"QV88QRTN8K","TilburgMentaal stichting","TILBURG","yes","no","no","1127136","-40251","946354",NA,2011,-3.6,84,NA
"746GMFUWK9","Stichting CCC Zorg Midden-Brabant","TILBURG","no","no","yes","1114307","-18272","532638",NA,2011,-1.6,47.8,NA
"NWMNCSQXSG","Buro MAKS B.V.","TILBURG","yes","no","no","4331105","254832","3594234",NA,2011,5.9,83,NA
"QV8QBWX7A9","tanteLouise-Vivensis","BERGEN OP ZOOM","no","no","yes","90354017","-1451605","56938602",NA,2011,-1.6,63,NA
"WPUAXVKR2B","GGZ Westelijk Noord-Brabant (GGZ-WNB)","BERGEN OP ZOOM","yes","no","no","82332006","5887586","51454729",NA,2011,7.2,62.5,NA
"X9P9VEF2XR","Nederlandse Stichting voor Woon- en Activiteitencentra voor Lichamelijk Gehandicapten (Nswac)","BREDA","no","yes","no","18596523","-24181","12061197",NA,2011,-0.1,64.9,NA
"YAFFLADAYT","Surplus","ZEVENBERGEN","no","no","yes","112420698","-1156808","79963324",NA,2011,-1,71.1,NA
"VMRYW83KS6","Stichting Maatschappelijke Opvang Breda en omstreken","Breda","yes","no","no","11917220","617526","8524686",NA,2011,5.2,71.5,NA
"9NDLS3KC6K","Stichting Woonzorgcentra Zuiderhout","BREDA","no","no","yes","11514576","1014112","5798057",NA,2011,8.8,50.4,NA
"746F8XPPM7","Praktijk van Waterschoot B.V.","Breda","yes","no","no","3317336","962816","1616945",NA,2011,29,48.7,NA
"X9P73CMRBT","Curamus","HULST","no","no","yes","27405369","1382707","18918217",NA,2011,5,69,NA
"VMR3TK96FK","Eilandzorg Schouwen-Duiveland","ZIERIKZEE","no","no","yes","4801272","-6973","3159204",NA,2011,-0.1,65.8,NA
"9NDD9EAY29","Tragel","TERNEUZEN","no","yes","no","40554646","4160","27796068",NA,2011,0,68.5,NA
"3GGRB5M8XG","Zorgsaam Zeeuws-Vlaanderen","TERNEUZEN","yes","no","yes","160200559","8912954","97153332",NA,2011,5.6,60.6,NA
"QV8H6DNEZ7","Woonzorg West Zeeuws-Vlaanderen","OOSTBURG","no","no","yes","20961446","-593300","14841505",NA,2011,-2.8,70.8,NA
"74AVGZGGUB","Zorgstroom","MIDDELBURG","no","no","yes","53613460","-856144","44828624",NA,2011,-1.6,83.6,NA
"NW23RTVPNR","Werk-, Leerboerderij De Akkerwinde","NISSE","no","yes","no","553053","3685","221373",NA,2011,0.7,40,NA
"WPUDV64DJT","Allevo","GOES","no","no","yes","54618232","1163175","43269993",NA,2011,2.1,79.2,NA
"X9PRJVZU76","Gors (Centraal kantoor)","Goes","no","yes","no","30621687","581300","18998027",NA,2011,1.9,62,NA
"YA45UF3MMK","StichtingWonen en Psychiatrie","TERNEUZEN","yes","no","no","3906560","308335","2578790",NA,2011,7.9,66,NA
"9NDMQ846WG","Ouderenzorg Kanaalzone","TERNEUZEN","no","no","yes","12692793","213944","8871237",NA,2011,1.7,69.9,NA
"X976ZYBD3K","Pension Maaszicht","ROTTERDAM","yes","no","no","2154942","-1726","1607676",NA,2011,-0.1,74.6,NA
"9NNSBKMFJ7","Hervormde Stichting Sonneburgh","ROTTERDAM","no","no","yes","24497774","881220","14764038",NA,2011,3.6,60.3,NA
"QVCPGQ5Y5R","Stichting Pameijer bestuurscentrum","ROTTERDAM","yes","yes","no","138070680","7595765","81502576",NA,2011,5.5,59,NA
"NW2TKZHEL6","Protestant-Christelijke Stichting Waardeburgh","SLIEDRECHT","no","no","yes","21573222","1273875","12807304",NA,2011,5.9,59.4,NA
"X979FAJP89","Het Spectrum","DORDRECHT","no","no","yes","28864226","914411","18454120",NA,2011,3.2,63.9,NA
"VMXK5F4ZQ7","Catharina Stichting voor Wonen, Zorg en Welzijn Westelijk Voorne","BRIELLE","no","no","yes","11456752","-1061256","8217381",NA,2011,-9.3,71.7,NA
"9NNLMSZMGB","Vruchtenburg","ROTTERDAM","yes","no","no","1187492","-70243","926456",NA,2011,-5.9,78,NA
"3G5J8C7FLR","Zorgpartners Midden-Holland","GOUDA","no","no","yes","125250471","2993672","74171307",NA,2011,2.4,59.2,NA
"74AF4JYYC6","Zorgcombinatie Nieuwe Maas","VLAARDINGEN","no","no","yes","34608518","1112534","22666834",NA,2011,3.2,65.5,NA
"NWTKLUT8VK","Stek Jeugdzorg","ROTTERDAM","no","no","yes","28600686","911272","22628951",NA,2011,3.2,79.1,NA
"WPWLWMUEY9","Stichting Zorgwaard","PUTTERSHOEK","no","no","yes","42987957","499519","24797130",NA,2011,1.2,57.7,NA
"X97JSHQGAG","Alerimus","NUMANSDORP","no","no","yes","11761881","263660","8788008",NA,2011,2.2,74.7,NA
"9NNN66BZCR","1np","HELLEVOETSLUIS","yes","no","no","21051515","3620971","14294330",NA,2011,17.2,67.9,NA
"QVCHRL8FK6","Zorg Woonzorggroep Zwijndrechtse Waard","ZWIJNDRECHT","no","no","yes","25392042","396694","16242982",NA,2011,1.6,64,NA
"NWTG7NXY69","Mentaal Beter Cure B.V.","Den Dolder","yes","no","no","25281265","3425306","5102410",NA,2011,13.5,20.2,NA
"WPWDTRDV4G","Thuiszorg Inis","CAPELLE AAN DEN IJSSEL","no","no","yes","5890168","1160332","4419109",NA,2011,19.7,75,NA
"X97X9F39T7","ASVZ, Interlevensbeschouwelijke Stichting voor Zorg ten behoeve van Mensen met een Handicap","SLIEDRECHT","no","yes","no","231831553","12031005","144760962",NA,2011,5.2,62.4,NA
"QV9C49YXHK","Bouman Geestelijke Gezondheidszorg","ROTTERDAM","yes","no","no","78990596","-898776","60889559",NA,2011,-1.1,77.1,NA
"74SQLGTTF9","Delta Psychiatrisch Centrum","POORTUGAAL","yes","no","no","98913923","-2949999","71623172",NA,2011,-3,72.4,NA
"NWTBWJUH2G","Refaja","ROTTERDAM","yes","no","no","58268","0","34744",NA,2011,0,59.6,NA
"WPW2SWPSX7","Argos Zorggroep","SCHIEDAM","no","no","yes","105475370","2252988","68681618",NA,2011,2.1,65.1,NA
"YAHWNDT3AR","Aafje Thuiszorg Huizen Zorghotels","ROTTERDAM","no","no","yes","177407223","-666414","131566171",NA,2011,-0.4,74.2,NA
"VMXTHZU5HT","Woon- en Zorgcentrum De Merwelanden","DORDRECHT","no","no","yes","11623840","361587","6324040",NA,2011,3.1,54.4,NA
"9NBY3TQ746","Parnassia Bavo Groep B.V.","'s-Gravenhage","yes","no","no","564335525","7591382","394925906",NA,2011,1.3,70,NA
"74SW7LXXRG","Geestelijke Gezondheidszorg Delfland","DELFT","yes","no","no","70890604","541432","47874118",NA,2011,0.8,67.5,NA
"NWTTTPDTW7","Steinmetz de Compaan","RIJSWIJK ZH","no","yes","yes","154917979","1564598","95222006",NA,2011,1,61.5,NA
"X9JEBXVSDR","Ipse de Bruggen","ZWAMMERDAM","no","yes","no","257074910","3255670","166781434",NA,2011,1.3,64.9,NA
"YAH4X7XCTT","Dr. Schroeder van der Kolk Bedrijven","'S-GRAVENHAGE","yes","no","no","14816949","24328","11618893",NA,2011,0.2,78.4,NA
"VMMVVUDL26","Saffier De Residentiegroep","Den Haag","no","no","yes","75148315","690687","46914031",NA,2011,0.9,62.4,NA
"74S4W9WWN7","Zorg Advies Bureau Haaglanden (ZAB) B.V.","'S-GRAVENHAGE","no","no","yes","2351023","137874","1822157",NA,2011,5.9,77.5,NA
"3GQMYFA5DG","Vierstroom","GOUDA","no","no","yes","134058516","4811178","101279102",NA,2011,3.6,75.5,NA
"QVE67AM777","Stichting All in Care","'S-GRAVENHAGE","no","no","yes","3590629","292660","2883603",NA,2011,8.2,80.3,NA
"WPZNB7VXLT","Cardia","'S-GRAVENHAGE","no","no","yes","18784007","1093687","11446623",NA,2011,5.8,60.9,NA
"74YPSK77ER","Protestants-Christelijke Stichting Woonzorgcentra DSV","KATWIJK ZH","no","no","yes","19147191","522437","13836683",NA,2011,2.7,72.3,NA
"WPZ2MQSW86","Izo","ALPHEN AAN DEN RIJN","no","no","yes","2572175","-78912","2413367",NA,2011,-3.1,93.8,NA
"YS6Z3LP4Q9","Stichting Rijnland Zorggroep","LEIDERDORP","no","no","yes","186298596","6822796","100050108",NA,2011,3.7,53.7,NA
"74YZ9S55KT","Rivierduinen","LEIDEN","yes","no","no","199281000","-9772000","138647000",NA,2011,-4.9,69.6,NA
"VM2VF5V4C7","Gereformeerd Minne-of Arme Oude Mannen- en Vrouwenhuis","LEIDEN","no","no","yes","4002746","233663","2765866",NA,2011,5.8,69.1,NA
"9NUGEJHAVB","Tuinderij Buitenkans","HILLEGOM","no","yes","no","93820",NA,"0",NA,2011,NA,0,NA
"3GPDUWRKYR","Stichting Libertas Leiden","Leiden","no","no","yes","33844367","211742","25094740",NA,2011,0.6,74.1,NA
"74YHQ6LL66","Topaz","LEIDEN","no","no","yes","64445415","892375","44130216",NA,2011,1.4,68.5,NA
"NW4VMVYG4K","Activisie B.V.","GOUDA","no","yes","no","653196","-6355","421891",NA,2011,-1,64.6,NA
"VM2QY3S2SB","Bartimeus Sonneheerdt","DOORN","no","yes","yes","93945569","-1494798","72248430",NA,2011,-1.6,76.9,NA
"QVLACXQYF6","Vitras/CMD","NIEUWEGEIN","no","no","yes","48777000","1267000","40130000",NA,2011,2.6,82.3,NA
"74KCN4C82K","AxionContinu groep","UTRECHT","no","no","yes","88255814","2271394","55854861",NA,2011,2.6,63.3,NA
"NW4Q6Y6EX9","Stichting voor Verpleging en Verzorging Beukenstein","DRIEBERGEN-RIJSENBURG","no","no","yes","13248330","198","9851083",NA,2011,0,74.4,NA
"WPRBGCXGZG","Altrecht","DEN DOLDER","yes","no","no","199667000","2894000","150808000",NA,2011,1.4,75.5,NA
"YSAPFK8BHB","Huize Het Oosten","BILTHOVEN","no","no","yes","6934912","7071","4276880",NA,2011,0.1,61.7,NA
"QVLE5Z36RK","Reinaerde","UTRECHT","no","yes","no","123329399","3926669","77313632",NA,2011,3.2,62.7,NA
"74KPXTKYW9","Thuiszorg het Centrum","Utrecht","no","no","yes","6234839","53129","6176166",NA,2011,0.9,99.1,NA
"NW4W86F8BG","Nedereind","NIEUWEGEIN","no","yes","no","785831","120175","464334",NA,2011,15.3,59.1,NA
"VM24P8TBRT","Joost Zorgt B.V.","UTRECHT","no","yes","yes","3980704","42819","3300399",NA,2011,1.1,82.9,NA
"X9N3K9GE3R","Kwintes","ZEIST","yes","no","no","67918107","3846697","41187515",NA,2011,5.7,60.6,NA
"VMT8UKXJB6","Thuishulp Zorgzaam B.V.","Utrecht","no","no","yes","1621849","170749","1206193",NA,2011,10.5,74.4,NA
"QVLXXNKMQG","Lievegoed Zorggroep","BILTHOVEN","yes","yes","no","35086764","1503096","23399711",NA,2011,4.3,66.7,NA
"YSS9QFF3J6","Amaris Zorggroep","LAREN NH","no","no","yes","83339225","1533748","58091878",NA,2011,1.8,69.7,NA
"VMTQ2SWQPK","Meander Medisch Centrum","AMERSFOORT","yes","no","no","237975000","4034000","152387000",NA,2011,1.7,64,NA
"9NWUCCPJ59","Quintes Thuiszorg B.V.","EEFDE","no","no","yes","823745","-91461","790938",NA,2011,-11.1,96,NA
"NWHQZMNFVR","Kijk op Zorg B.V.","LOOSDRECHT","no","no","yes","2599282","699263","1771252",NA,2011,26.9,68.1,NA
